client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1871,0,0,0,06/04/2026,06/04/2026 15:01:32
Action Plumbing Construction,42,0,0,0,06/04/2026,06/04/2026 15:01:32
Bauer Foundation Corp.,156,0,0,0,06/04/2026,06/04/2026 15:01:32
Canadian Pacific Kansas City,5541,0,0,0,06/04/2026,06/04/2026 15:01:32
"Capital Railroad Contracting, Inc.",97,0,0,0,06/04/2026,06/04/2026 15:01:32
EMMES,284,0,0,0,06/04/2026,06/04/2026 15:01:32
ESS Companies,2710,0,0,0,06/04/2026,06/04/2026 15:01:32
Gart Properties,293,0,0,0,06/04/2026,06/04/2026 15:01:32
Kolb Grading,120,0,0,0,06/04/2026,06/04/2026 15:01:32
Mizuho Bank,27,0,0,0,06/04/2026,06/04/2026 15:01:32
"Musselman & Hall Contractors, LLC",14,0,0,0,06/04/2026,06/04/2026 15:01:32
"Paragon Geophysical Services, Inc.",81,0,0,0,06/04/2026,06/04/2026 15:01:32
Scandroli Construction,901,0,0,0,06/04/2026,06/04/2026 15:01:32
Skyline Developers Construction LLC,16,0,0,0,06/04/2026,06/04/2026 15:01:32
The Abbey Management Company,572,0,0,0,06/04/2026,06/04/2026 15:01:32
Trinity Chemical Industries LLC,147,0,0,0,06/04/2026,06/04/2026 15:01:32
United Coal Company LLC,511,0,0,0,06/04/2026,06/04/2026 15:01:32
