client,vendor_name,platform,current_status,first_nc_date,last_nc_date,last_cure_date,consecutive_nc_days,total_nc_episodes,avg_cure_days,is_repeat_offender,snapshot_count
A G Equipment Company,LINCOLN ELECTRIC COMPANY,evident,compliant,,,,0,0,,false,3
A G Equipment Company,HUDSON PRODUCTS CORPORATION,evident,non_compliant,2026-06-01,2026-06-11,,10,1,,false,3
A G Equipment Company,VINSON PROCESS CONTROLS,evident,non_compliant,2026-06-01,2026-06-11,,10,1,,false,3
A G Equipment Company,CROSSLAND HEAVY CONTRACTORS INC,evident,compliant,,,,0,0,,false,3
A G Equipment Company,VOORTMAN USA LLC,evident,non_compliant,2026-06-01,2026-06-11,,10,1,,false,3
A G Equipment Company,REGER LASER INC,evident,compliant,,,,0,0,,false,3
A G Equipment Company,INTERSTATE STEEL & METALS INC,evident,compliant,,,,0,0,,false,3
A G Equipment Company,"DORINGER COLD SAWS, INC",evident,non_compliant,2026-06-01,2026-06-11,,10,1,,false,3
A G Equipment Company,Bray Process Control,evident,compliant,,,,0,0,,false,3
A G Equipment Company,VICTOR WELDING SUPPLY CO,evident,compliant,,,,0,0,,false,3
A G Equipment Company,"KIENE DIESEL ACCESSORIES, INC",evident,non_compliant,2026-06-01,2026-06-11,,10,1,,false,3
A G Equipment Company,"MC MACHINERY SYSTEMS, INC",evident,non_compliant,2026-06-01,2026-06-11,,10,1,,false,3
A G Equipment Company,"WEAMCO, INC",evident,compliant,,,,0,0,,false,3
A G Equipment Company,"ZEP SALES AND SERVICE, INC",evident,non_compliant,2026-06-01,2026-06-11,,10,1,,false,3
A G Equipment Company,UNITED RENTALS,evident,non_compliant,2026-06-01,2026-06-11,,10,1,,false,3
A G Equipment Company,"DELTA STEEL, INC",evident,non_compliant,2026-06-01,2026-06-11,,10,1,,false,3
A G Equipment Company,"KROHNE AMERICA, INC",evident,non_compliant,2026-06-01,2026-06-11,,10,1,,false,3
A G Equipment Company,SPECTRUM PAINT COMPANY,evident,compliant,,,,0,0,,false,3
A G Equipment Company,"PRESTON-EASTIN, INC.",evident,compliant,,,,0,0,,false,3
A G Equipment Company,GLOBAL COMPRESSION SERVICES,evident,compliant,,,,0,0,,false,3
A G Equipment Company,FLUID ENGINEERING,evident,non_compliant,2026-06-01,2026-06-11,,10,1,,false,3
A G Equipment Company,"TRUCKPRO, LLC",evident,non_compliant,2026-06-01,2026-06-11,,10,1,,false,3
A G Equipment Company,PRODUCTION MANUFACTURING CO,evident,compliant,,,,0,0,,false,3
A G Equipment Company,GRAVOTECH,evident,non_compliant,2026-06-01,2026-06-11,,10,1,,false,3
A G Equipment Company,SPECIAL METALS INC,evident,non_compliant,2026-06-01,2026-06-11,,10,1,,false,3
A G Equipment Company,"THE UNLAUB CO, INC",evident,non_compliant,2026-06-01,2026-06-11,,10,1,,false,3
A G Equipment Company,SPINDLETOP ENERGY PRODUCTS CO LLC,evident,compliant,,,,0,0,,false,3
A G Equipment Company,ColdStream Energy LLC,evident,compliant,,,,0,0,,false,3
A G Equipment Company,CAMFIL USA INC,evident,compliant,,,,0,0,,false,3
A G Equipment Company,SPEARS MANUFACTURING COMPANY,evident,non_compliant,2026-06-01,2026-06-11,,10,1,,false,3
A G Equipment Company,"SAMPLE BROTHERS, INC",evident,compliant,,,,0,0,,false,3
A G Equipment Company,White Star Machinery,evident,non_compliant,2026-06-01,2026-06-11,,10,1,,false,3
A G Equipment Company,First Distributors LLC,evident,compliant,,,,0,0,,false,3
A G Equipment Company,"ZENTECH, LLC",evident,compliant,2026-06-01,2026-06-10,2026-06-11,0,1,10,false,3
A G Equipment Company,BROKEN ARROW POWDER COATING INC,evident,non_compliant,2026-06-01,2026-06-11,,10,1,,false,3
